,hc_cell_area,hc_cell_RI_mean,hc_cell_eccentricity,hc_nucleus_area,hc_nucleus_RI_std,hc_nucleus_to_cell_area_ratio,hc_nucleolus_to_nucleus_area_ratio,hc_lipid_area
PC1,0.7299122574399032,-0.7212332816036024,-0.44030348567114524,0.7165901010877668,-0.3792185882530394,-0.31890506215325276,0.2461125762292783,0.3396153679059727
PC2,0.5085480510934375,0.3523493326999845,-0.21943297200208012,0.5291687873424519,0.4514001211803952,-0.13443259610006872,0.0014903262898245003,0.6333438929498344
PC3,0.2611829183270155,-0.19048801915226737,0.5080647936820385,0.26054552510557055,-0.09452518557503627,-0.18192783575436558,-0.16030620293126424,0.07067052317269824
PC4,0.02946928192702957,-0.2407273973895732,-0.07180409399916918,-0.028967689695292387,0.22548928864561626,-0.15796847069219702,-0.009757604825679526,-0.3632656565964606
PC5,0.18039526545935605,0.1730551387658678,0.0628058388751062,0.15596857015145785,0.3813728599559626,-0.15787990242179936,0.3177045772351595,0.1726886418590742
