true_labels,0,1,2,3,4
Parental,0.5011709601873536,0.2107728337236534,0.19437939110070257,0.0585480093676815,0.0351288056206089
CarboplatinR,0.46172248803827753,0.1507177033492823,0.1507177033492823,0.12200956937799043,0.11483253588516747
PaclitaxelR,0.2793696275071633,0.3624641833810888,0.09742120343839542,0.22922636103151864,0.03151862464183381
EpirubicinR,0.21731448763250882,0.2067137809187279,0.2773851590106007,0.21024734982332155,0.08833922261484099
