,cluster
cell_HuMoment_5,138
cell_HuMoment_6,140
cell_InertiaTensor_0_0,225
cell_InertiaTensor_0_1,287
cell_InertiaTensor_1_0,287
cell_InertiaTensor_1_1,226
cell_InertiaTensorEigenvalues_0,227
cell_InertiaTensorEigenvalues_1,218
cell_PerimeterCrofton,227
cell_Zernike_0_0,195
cell_Zernike_1_1,162
cell_Zernike_2_0,198
cell_Zernike_2_2,149
cell_Zernike_3_1,161
cell_Zernike_3_3,152
cell_Zernike_4_0,163
cell_Zernike_4_2,150
cell_Zernike_4_4,142
cell_Zernike_5_1,135
cell_Zernike_5_3,153
cell_Zernike_5_5,154
cell_Zernike_6_0,132
cell_Zernike_6_2,134
cell_Zernike_6_4,143
cell_Zernike_6_6,144
cell_Zernike_7_1,136
cell_Zernike_7_3,127
cell_Zernike_7_5,155
cell_Zernike_7_7,156
cell_Zernike_8_0,137
cell_Zernike_8_2,133
cell_Zernike_8_4,129
cell_Zernike_8_6,145
cell_Zernike_8_8,146
cell_Zernike_9_1,130
cell_Zernike_9_3,131
cell_Zernike_9_5,128
cell_Zernike_9_7,158
cell_Zernike_9_9,157
cell_MinFeretDiameter,218
cell_MaxFeretDiameter,227
cell_AngularSecondMoment_3_00_256,263
cell_Contrast_3_00_256,269
cell_Correlation_3_00_256,247
cell_Variance_3_00_256,267
cell_InverseDifferenceMoment_3_00_256,263
cell_SumAverage_3_00_256,262
cell_SumVariance_3_00_256,267
cell_SumEntropy_3_00_256,264
cell_Entropy_3_00_256,264
cell_DifferenceVariance_3_00_256,265
cell_DifferenceEntropy_3_00_256,265
cell_InfoMeas1_3_00_256,248
cell_InfoMeas2_3_00_256,248
cell_AngularSecondMoment_3_01_256,263
cell_Contrast_3_01_256,269
cell_Correlation_3_01_256,247
cell_Variance_3_01_256,267
cell_InverseDifferenceMoment_3_01_256,263
cell_SumAverage_3_01_256,262
cell_SumVariance_3_01_256,267
cell_SumEntropy_3_01_256,264
cell_Entropy_3_01_256,264
cell_DifferenceVariance_3_01_256,265
cell_DifferenceEntropy_3_01_256,265
cell_InfoMeas1_3_01_256,248
cell_InfoMeas2_3_01_256,248
cell_AngularSecondMoment_3_02_256,263
cell_Contrast_3_02_256,269
cell_Correlation_3_02_256,247
cell_Variance_3_02_256,267
cell_InverseDifferenceMoment_3_02_256,263
cell_SumAverage_3_02_256,262
cell_SumVariance_3_02_256,267
cell_SumEntropy_3_02_256,264
cell_Entropy_3_02_256,264
cell_DifferenceVariance_3_02_256,265
cell_DifferenceEntropy_3_02_256,265
cell_InfoMeas1_3_02_256,248
cell_InfoMeas2_3_02_256,248
cell_AngularSecondMoment_3_03_256,263
cell_Contrast_3_03_256,269
cell_Correlation_3_03_256,247
cell_Variance_3_03_256,267
cell_InverseDifferenceMoment_3_03_256,263
cell_SumAverage_3_03_256,262
cell_SumVariance_3_03_256,267
cell_SumEntropy_3_03_256,264
cell_Entropy_3_03_256,264
cell_DifferenceVariance_3_03_256,265
cell_DifferenceEntropy_3_03_256,265
cell_InfoMeas1_3_03_256,248
cell_InfoMeas2_3_03_256,248
cell_Granularity_1,209
cell_Granularity_2,230
cell_Granularity_3,125
cell_Granularity_4,200
cell_Granularity_5,232
cell_Granularity_6,234
cell_Granularity_7,233
cell_Granularity_8,235
cell_Granularity_9,236
cell_Granularity_10,210
cell_Granularity_11,211
cell_Granularity_12,43
cell_Granularity_13,45
cell_Granularity_14,44
cell_Granularity_15,42
cell_Granularity_16,41
nucleus_RadialDistribution_FracAtD_1of4,50
nucleus_RadialDistribution_MeanFrac_1of4,51
nucleus_RadialDistribution_RadialCV_1of4,239
nucleus_RadialDistribution_FracAtD_2of4,99
nucleus_RadialDistribution_MeanFrac_2of4,48
nucleus_RadialDistribution_RadialCV_2of4,240
nucleus_RadialDistribution_FracAtD_3of4,52
nucleus_RadialDistribution_MeanFrac_3of4,53
nucleus_RadialDistribution_RadialCV_3of4,243
nucleus_RadialDistribution_FracAtD_4of4,99
nucleus_RadialDistribution_MeanFrac_4of4,49
nucleus_RadialDistribution_RadialCV_4of4,237
nucleus_RadialDistribution_ZernikeMagnitude_0_0,260
nucleus_RadialDistribution_ZernikeMagnitude_1_1,86
nucleus_RadialDistribution_ZernikePhase_1_1,279
nucleus_RadialDistribution_ZernikeMagnitude_2_0,74
nucleus_RadialDistribution_ZernikePhase_2_0,54
nucleus_RadialDistribution_ZernikeMagnitude_2_2,103
nucleus_RadialDistribution_ZernikePhase_2_2,22
nucleus_RadialDistribution_ZernikeMagnitude_3_1,87
nucleus_RadialDistribution_ZernikePhase_3_1,277
nucleus_RadialDistribution_ZernikeMagnitude_3_3,89
nucleus_RadialDistribution_ZernikePhase_3_3,293
nucleus_RadialDistribution_ZernikeMagnitude_4_0,62
nucleus_RadialDistribution_ZernikePhase_4_0,111
nucleus_RadialDistribution_ZernikeMagnitude_4_2,101
nucleus_RadialDistribution_ZernikePhase_4_2,32
nucleus_RadialDistribution_ZernikeMagnitude_4_4,105
nucleus_RadialDistribution_ZernikePhase_4_4,307
nucleus_RadialDistribution_ZernikeMagnitude_5_1,121
nucleus_RadialDistribution_ZernikePhase_5_1,280
nucleus_RadialDistribution_ZernikeMagnitude_5_3,91
nucleus_RadialDistribution_ZernikePhase_5_3,295
nucleus_RadialDistribution_ZernikeMagnitude_5_5,90
nucleus_RadialDistribution_ZernikePhase_5_5,310
nucleus_RadialDistribution_ZernikeMagnitude_6_0,70
nucleus_RadialDistribution_ZernikePhase_6_0,76
nucleus_RadialDistribution_ZernikeMagnitude_6_2,72
nucleus_RadialDistribution_ZernikePhase_6_2,25
nucleus_RadialDistribution_ZernikeMagnitude_6_4,95
nucleus_RadialDistribution_ZernikePhase_6_4,309
nucleus_RadialDistribution_ZernikeMagnitude_6_6,93
nucleus_RadialDistribution_ZernikePhase_6_6,299
nucleus_RadialDistribution_ZernikeMagnitude_7_1,113
nucleus_RadialDistribution_ZernikePhase_7_1,281
nucleus_RadialDistribution_ZernikeMagnitude_7_3,83
nucleus_RadialDistribution_ZernikePhase_7_3,294
nucleus_RadialDistribution_ZernikeMagnitude_7_5,92
nucleus_RadialDistribution_ZernikePhase_7_5,312
nucleus_RadialDistribution_ZernikeMagnitude_7_7,66
nucleus_RadialDistribution_ZernikePhase_7_7,297
nucleus_RadialDistribution_ZernikeMagnitude_8_0,46
nucleus_RadialDistribution_ZernikePhase_8_0,63
nucleus_RadialDistribution_ZernikeMagnitude_8_2,60
nucleus_RadialDistribution_ZernikePhase_8_2,26
nucleus_RadialDistribution_ZernikeMagnitude_8_4,108
nucleus_RadialDistribution_ZernikePhase_8_4,308
nucleus_RadialDistribution_ZernikeMagnitude_8_6,96
nucleus_RadialDistribution_ZernikePhase_8_6,300
