,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
cell_Zernike_7_1,-0.002447316,0.0010080604,0.018219804,-0.011387314,0.013483295,-0.01212775,0.02377083,-0.05109091,0.093925245,0.0061136764,0.014922073,0.007614837,-0.0383843,0.06639721,-0.07467575
cell_Zernike_7_3,-0.0036757267,0.00041762766,0.016409826,-0.0027314737,0.012852084,-0.026356006,0.026729558,-0.05625068,0.11409971,-0.008764009,0.013894108,0.028998569,-0.023097316,0.03040388,-0.051760327
cell_Zernike_7_5,-0.009306153,0.002863157,0.01264554,0.007927127,0.0026127244,-0.046403676,0.028885314,-0.0970576,0.12671855,0.0019642576,-0.0009795144,0.041294795,0.03886096,-0.06735375,0.057440937
cell_Zernike_7_7,-0.013643563,0.013773192,-0.027985115,0.0256475,-0.00615743,-0.03684541,0.047295358,-0.08134865,0.08049388,0.00872238,-0.0017316616,0.05921146,0.08401249,-0.09745283,0.09333538
cell_Zernike_8_0,0.0074992515,-5.8749298e-05,0.027364373,-0.0014518932,-0.0023773198,0.027254112,-0.011076197,0.026353166,-0.059815485,-0.0020874746,-0.0009991474,-0.0104429,0.017537976,-0.012403582,0.079194985
cell_Zernike_8_2,0.004727483,0.000501291,0.04463953,0.0017452498,0.0100565925,0.040540557,-0.010361179,0.04404228,-0.08769555,-0.0030234486,-0.010256442,-0.024088874,0.03161861,-0.0079051405,0.062613264
cell_Zernike_8_4,0.00034768326,-0.0030210358,0.016111143,-0.006895419,-0.0044579203,0.03385484,-0.0043800008,0.022247316,-0.07940775,-0.0064844443,-0.01035454,-0.046030786,0.0030550158,0.0017118903,0.02335663
cell_Zernike_8_6,0.009647009,-0.018575978,0.057052303,-0.00505126,0.008366241,0.029655514,-0.02056912,0.046514194,-0.08522618,-0.010966259,-0.024128305,-0.03956063,-0.011943627,0.038939457,-0.025522575
cell_Zernike_8_8,0.013615823,-0.00667019,0.013154017,0.013949427,-0.0047796126,0.018609395,-0.028399235,0.039325684,-0.07431996,-0.003171053,0.0047212527,-0.045665905,-0.037785694,0.0122791985,-0.03775726
cell_Zernike_9_1,-0.0014899032,0.002334192,0.0070899865,-0.009593351,0.0025572288,-0.008684536,0.008630372,-0.036709465,0.07851781,-0.0044461424,0.0045640515,0.011245219,-0.03371133,0.049549498,-0.058090575
cell_Zernike_9_3,0.0009960135,0.0011561755,0.011198561,-0.004419149,0.0060614333,-0.015961276,0.01738925,-0.0360027,0.06723901,-0.00045632268,0.014197003,0.010248283,-0.02007294,0.042943627,-0.069272414
cell_Zernike_9_5,-0.0019321102,0.0012069782,0.014913664,0.0004778381,0.01417091,-0.023237746,0.0033159882,-0.060196552,0.08865467,-0.0065215705,0.0089496765,0.019043777,-0.0034692544,-0.011694673,-0.0077772327
cell_Zernike_9_7,-0.0105132125,0.0036031588,0.01819494,0.011556173,-0.0010268306,-0.037575018,0.025985315,-0.07923633,0.106758766,0.010326449,-0.01018856,0.041880257,0.052535575,-0.0711728,0.054763693
cell_Zernike_9_9,-0.011585936,0.012147829,-0.024424596,0.020488186,-0.003937066,-0.034349263,0.033953737,-0.07532242,0.06483134,0.0032847188,-0.004421153,0.062319152,0.07553142,-0.0900758,0.090487316
cell_MinFeretDiameter,-0.07122149,0.0929444,-0.015994614,0.008649904,0.022027835,-0.010196219,0.028532391,-0.05022501,0.022705965,-0.0050630206,-0.0063342354,-0.042236228,0.019107569,0.025373302,0.06286364
cell_MaxFeretDiameter,-0.04843715,0.0722677,0.11607241,-0.007993574,0.05829662,0.036451377,0.018219715,-0.020527743,-0.00041235532,-0.0168387,-0.012177404,-0.080942325,-0.014332178,0.049059287,0.008620501
cell_AngularSecondMoment_3_00_256,-0.080414675,0.002909666,-0.013250918,0.05282938,-0.015552242,0.064428546,0.076170355,-0.044683233,-0.03985073,-0.012679842,-0.014839655,-0.0034060648,-0.01404214,-0.0029989867,-0.042067118
cell_Contrast_3_00_256,0.048528638,0.041495796,-0.05376617,-0.13501081,0.026722072,0.09285319,0.054804295,0.009147896,0.014029805,0.0012899021,0.021205923,0.00076120556,-0.0072571845,-0.002260957,-0.004280068
cell_Correlation_3_00_256,0.027031582,0.014774026,0.020738693,0.15088333,0.012406073,0.031914536,-0.107133135,-0.071738586,-0.006670193,0.0033672235,-0.03463318,0.020500707,0.04781431,-0.013020741,0.042060353
cell_Variance_3_00_256,0.07334689,0.057143986,-0.047322687,-0.05333808,0.03869353,0.1259947,-0.004764742,-0.03502509,0.011949718,0.0032696936,0.0003974143,0.0067636264,0.02174075,-0.008863086,0.01940146
cell_InverseDifferenceMoment_3_00_256,-0.08591732,-0.017355284,-0.0013161876,0.08568995,-0.013953848,0.09047558,0.015450964,-0.046554737,-0.007872092,-0.008064702,-0.009222611,0.0056142546,0.016591813,0.0021809556,-0.07417126
cell_SumAverage_3_00_256,0.09305664,0.022394523,-0.008953065,-0.0511333,0.0044539575,-0.047433402,-0.09126324,0.052093267,0.031420432,0.013636299,0.012899013,0.01701021,0.020433873,-3.9193815e-06,0.010018751
cell_SumVariance_3_00_256,0.07440605,0.05751749,-0.045255464,-0.041893736,0.03911492,0.12665156,-0.01193257,-0.039489884,0.011372225,0.0034238887,-0.0021621292,0.0073161777,0.024705539,-0.009432405,0.021778211
cell_SumEntropy_3_00_256,0.09748929,0.04311388,-0.014263132,-0.0285309,0.032564737,0.032225832,-0.06684961,-0.0019709684,0.025532385,0.010109512,0.008374972,0.003710128,0.029037654,0.003152132,0.027258664
cell_Entropy_3_00_256,0.09485899,0.043574087,-0.0075247935,-0.061133634,0.030477874,-0.012927214,-0.04289516,0.0245971,0.025486885,0.009687214,0.012315984,-0.0071982024,0.0060281055,0.005705477,0.051779836
cell_DifferenceVariance_3_00_256,-0.07759847,-0.04099087,0.014643597,0.103844784,-0.02920273,0.021166852,-0.019202247,-0.030593349,-0.0096732285,-0.0074528125,-0.013429234,0.020787729,0.017215589,-0.0043167793,-0.047719136
cell_DifferenceEntropy_3_00_256,0.07871786,0.042275134,-0.025242388,-0.1206716,0.02692356,0.0033823296,0.028241623,0.032156676,0.011696499,0.006685164,0.01614218,-0.0035446214,-0.021151355,0.0010247875,0.043071844
cell_InfoMeas1_3_00_256,-0.034421146,-0.004459408,0.019777458,-0.11090394,-0.008894198,-0.13708459,0.11153071,0.091321334,-0.0017783222,-0.004603861,0.0135118645,-0.04226903,-0.07961374,0.007387839,0.0747744
cell_InfoMeas2_3_00_256,0.058134146,0.01382896,-0.018609412,0.08402556,0.015664957,0.121442206,-0.11436048,-0.0788879,0.012001697,0.005330874,-0.008112722,0.030438377,0.06990393,-0.006254118,-0.050919514
cell_AngularSecondMoment_3_01_256,-0.07974514,0.0041661174,-0.0136313345,0.050702825,-0.016155425,0.064847685,0.07338113,-0.046224073,-0.04035441,-0.0036220236,-0.016839702,-0.00045899677,-0.025044471,-0.0017057701,-0.03740938
