,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
nucleus_RadialDistribution_MeanFrac_3of4,-0.014917821,0.0017968552,-0.015372318,-0.006767301,-0.033418972,-0.012043973,0.0013800124,0.0021608644,0.0016092095,-0.016319305,0.07986006,-0.010332825,-0.043861512,0.09879303,-0.09031978
nucleus_RadialDistribution_RadialCV_3of4,0.014783569,0.027201803,-0.008268025,0.0535629,0.021141028,0.0004436259,0.11228936,0.080580555,0.030920934,-0.01364596,0.023259958,0.023243185,-0.024744393,0.049898244,-0.036063824
nucleus_RadialDistribution_FracAtD_4of4,0.03151024,0.024117326,0.022407856,-0.0045246426,-0.12561873,0.03315186,0.024256498,-0.042977404,-0.023478886,0.0168939,0.06753051,0.034040254,0.023333533,0.06966035,0.019670997
nucleus_RadialDistribution_MeanFrac_4of4,0.0196215,-0.013070329,0.023368007,-0.001844063,-0.04913644,-0.02287985,-0.028137892,-0.08261195,-0.026929257,0.0067508593,-0.023764987,0.05743209,0.039038923,0.03857288,0.048947826
nucleus_RadialDistribution_RadialCV_4of4,0.034489606,0.011857302,-0.012203482,0.037974022,-0.03458402,-0.0020105164,0.05941304,0.008459071,-0.0035529383,0.013257288,-0.0005122415,0.14802901,0.020188697,0.033041727,-0.06657331
nucleus_RadialDistribution_ZernikeMagnitude_0_0,0.085454196,0.041432403,-0.0020182692,0.071331695,0.026308134,-0.045398623,-0.08755964,-0.013055275,-0.0066227037,4.2638214e-05,-0.0058316863,-0.036372434,0.0032220883,0.007996595,0.01645822
nucleus_RadialDistribution_ZernikeMagnitude_1_1,0.020833958,0.04117833,0.007318275,-0.0032989,-0.123806454,0.008050171,-0.024855442,0.04399763,0.053472117,-0.030080758,-0.17708695,-0.014957655,-0.0019902964,0.03480939,0.00322113
nucleus_RadialDistribution_ZernikePhase_1_1,-0.001532928,0.0021030852,0.0035618213,-0.0055959118,-0.007910266,-0.005791796,-0.004980676,0.00091415003,0.0045086727,0.019847099,-0.012684086,-0.013757907,-0.01146507,0.012692633,0.0039804783
nucleus_RadialDistribution_ZernikeMagnitude_2_0,0.06500329,0.026796428,0.04376938,0.045079205,-0.06979618,0.0027813395,0.0051741223,0.012779151,-0.0054953992,0.056888554,0.11616222,0.024318727,0.054005932,0.029451752,0.022207446
nucleus_RadialDistribution_ZernikePhase_2_0,0.0005181281,0.0012940085,0.0012354726,-0.00060793577,-0.009272478,-0.0014132815,-0.00031172734,0.001237448,0.0059978603,-0.0011664003,-0.013328325,-0.010594354,-0.008436125,-0.0077683683,0.004434965
nucleus_RadialDistribution_ZernikeMagnitude_2_2,0.03807744,0.03574762,0.06873575,0.036565155,-0.13963366,0.033778843,-0.0017318932,0.019196406,0.037920248,0.026669351,0.11308518,-0.061737854,-0.0048534693,-0.06111032,0.044213723
nucleus_RadialDistribution_ZernikePhase_2_2,0.0068983627,-0.00020131511,0.00033784873,-0.0059393165,0.0062992796,0.018930322,-0.0068148775,0.0010568217,0.00346029,-0.0014127267,0.02140429,0.07995667,-0.18710159,0.039662596,0.103330486
nucleus_RadialDistribution_ZernikeMagnitude_3_1,0.018883178,0.047681767,0.0138378665,0.004820991,-0.12375239,0.016424697,-0.0142686535,0.049427997,0.057054535,-0.03318915,-0.13785066,-0.03898932,-0.019465253,-0.03153905,0.0055882353
nucleus_RadialDistribution_ZernikePhase_3_1,0.0017909581,-0.0014428163,-0.0005217306,-0.0056519047,0.007520779,0.013421968,-0.0027734393,0.0022756986,0.0028020462,0.0046057845,0.0016049437,0.008981147,0.00091211806,0.0017800581,-0.002685272
nucleus_RadialDistribution_ZernikeMagnitude_3_3,0.017932735,0.03768207,0.010865527,-0.0016534086,-0.10547278,0.012726613,-0.015179968,0.03224647,0.043134198,-0.05592977,-0.16466141,-0.024992023,-0.025396513,0.008506392,-0.020080205
nucleus_RadialDistribution_ZernikePhase_3_3,0.0011683463,0.0035350402,0.009869149,0.00090974104,0.0016779294,-0.001916604,-0.001687305,0.005566886,0.0015779393,-0.0021841303,0.0055811517,-0.014205202,0.008201804,-0.021077434,-0.00751024
nucleus_RadialDistribution_ZernikeMagnitude_4_0,0.00874328,-2.813462e-05,-0.03123226,-0.0044469275,0.036769096,-0.046084203,-0.0716002,-0.05149999,-0.0041882116,-0.05670078,-0.0880614,-0.025588986,-0.07648113,-0.080815494,-0.053549685
nucleus_RadialDistribution_ZernikePhase_4_0,0.014775405,0.031587943,0.031903077,0.00943812,-0.084098436,0.026720824,0.014959644,0.018390274,0.007170575,0.0035473302,0.039182104,-0.003742296,0.02013258,-0.024495559,0.021706156
nucleus_RadialDistribution_ZernikeMagnitude_4_2,0.020081291,0.04861606,0.042737897,0.019173935,-0.14484745,0.03857674,-0.005897144,0.026262943,0.044574752,-0.02647189,0.002138855,-0.08659329,-0.03535185,-0.10947118,0.032199297
nucleus_RadialDistribution_ZernikePhase_4_2,0.00044027387,-0.0033308596,-0.00053250056,-0.0041832617,0.010469563,-0.006719924,-0.0010808712,-0.004391954,0.0107630445,-0.013215222,-0.009579745,-0.024876479,0.050794683,-0.01575934,0.0091181155
nucleus_RadialDistribution_ZernikeMagnitude_4_4,0.033219513,0.040828463,0.05867112,0.024275187,-0.14458445,0.027311714,-0.009653607,0.022190422,0.03284664,-0.013027768,0.024497991,-0.054764662,-0.011604512,-0.0793839,0.028355405
nucleus_RadialDistribution_ZernikePhase_4_4,0.0040801875,0.0045461543,-0.0068659796,-0.0064631915,-0.004641179,-0.008622018,0.017691528,0.0035633692,0.0068166973,-0.0069185835,-0.009780612,0.019764358,-0.0075265644,0.0038822002,-0.004013036
nucleus_RadialDistribution_ZernikeMagnitude_5_1,0.023136374,0.0359179,0.013531721,0.008702932,-0.09119927,2.3878774e-05,-0.00929067,0.03477684,0.035512365,-0.005712411,-0.084759004,0.014583269,0.020285299,0.07333837,0.009444453
nucleus_RadialDistribution_ZernikePhase_5_1,0.003791281,0.004319478,0.0021666326,-0.0034526382,-0.007071943,-0.005439608,-0.012132823,0.0066599376,-0.0014225905,0.015417893,-0.00542057,0.0064086495,-0.021325175,0.007295603,-0.009780517
nucleus_RadialDistribution_ZernikeMagnitude_5_3,0.01686744,0.044385813,0.01567948,0.013489715,-0.115310684,0.013642282,-0.009154198,0.042187314,0.049948104,-0.038721442,-0.097533174,-0.03877216,-0.02680567,0.013337766,0.0010848679
nucleus_RadialDistribution_ZernikePhase_5_3,-0.0020269104,-0.005177398,-0.003722117,-0.0029989248,-0.005351128,-0.0008077193,-0.0034249926,-0.00048405593,-0.0028716053,-0.011894885,-0.009205607,-0.002007096,-0.0022458786,0.0038886454,0.019361453
nucleus_RadialDistribution_ZernikeMagnitude_5_5,0.021233909,0.032924693,0.011029098,-0.001406608,-0.09577345,0.009752413,-0.009379349,0.030022217,0.025172183,-0.04250115,-0.15282299,-0.013068827,-0.023725554,-0.00087010674,-0.0046923514
nucleus_RadialDistribution_ZernikePhase_5_5,0.004061517,-0.0009977627,-0.0007985554,0.0012744241,-0.0037386024,0.010806234,0.0027375289,-0.006629105,-0.010552716,0.010662103,0.00352487,0.0027367934,-0.007735851,0.016876454,-0.01783231
nucleus_RadialDistribution_ZernikeMagnitude_6_0,0.004233035,0.020221021,-0.01692336,0.00861973,0.039637562,-0.013114398,-0.05515813,-0.0006397003,0.01674924,-0.049113907,-0.12893645,-0.057951994,-0.048529185,-0.11456557,0.031509403
nucleus_RadialDistribution_ZernikePhase_6_0,0.018186208,-0.00064250175,0.04669662,0.013678348,-0.073683314,0.009049408,0.0254,-0.0007195201,-0.0029590568,0.046926003,0.14688008,0.016101185,0.012328288,0.007924846,-0.0065562725
nucleus_RadialDistribution_ZernikeMagnitude_6_2,0.039829556,0.01461276,0.052308984,0.0333655,-0.07498693,0.0057869707,0.0034856386,0.0019453188,0.018760132,0.055034887,0.12160128,0.0043353736,0.0033210316,-0.02643083,0.016840462
nucleus_RadialDistribution_ZernikePhase_6_2,-0.0043016863,-0.0024089427,-0.0061277933,-0.001149185,-0.0018849957,-0.015328122,0.009204906,-0.010194735,-0.01115192,-0.00081901153,-0.024492506,-0.05400331,0.14044845,-0.030328285,-0.0768114
nucleus_RadialDistribution_ZernikeMagnitude_6_4,0.01555473,0.038939156,0.031514883,0.02149908,-0.10873102,0.013457133,-0.011212355,0.012707308,0.051522255,-0.03709069,-0.009748907,-0.05965164,-0.04968482,-0.081027165,0.0036245072
nucleus_RadialDistribution_ZernikePhase_6_4,0.0012738405,0.0023203054,0.005681405,0.0006545697,-0.0029916454,-0.014117957,0.009855353,0.005656579,-0.006675426,-0.015683688,0.0055055562,0.0036438878,0.004295809,0.013500752,-0.0009457192
nucleus_RadialDistribution_ZernikeMagnitude_6_6,0.031073425,0.03614703,0.04372875,0.01392382,-0.12860547,0.019596566,-0.0034736658,0.011228276,0.025723644,-0.036928054,-0.037604176,-0.042589888,-0.018776914,-0.06808103,0.012544392
nucleus_RadialDistribution_ZernikePhase_6_6,0.0016464437,-0.0012796919,0.0048267078,0.0017675357,-0.006379974,-0.009645228,0.004842009,0.009702283,-0.00685296,0.0103229685,-0.011429707,-0.00014027073,0.016167779,0.006282811,-0.005052868
nucleus_RadialDistribution_ZernikeMagnitude_7_1,0.028185861,0.031372905,0.007867769,0.011871414,-0.05182952,-0.00010758798,-0.0042623244,0.040821824,0.039426,-0.038131524,-0.13199176,-0.007671692,0.026906364,0.011334381,0.03659825
nucleus_RadialDistribution_ZernikePhase_7_1,-0.0014242599,-0.0028339976,0.004024275,-0.0030051859,0.005266313,-0.0039787237,-0.0057960767,-0.0050818487,0.00081497617,0.020763256,-0.011546924,-0.0013441935,0.0022666443,-0.0051201093,-0.015200347
nucleus_RadialDistribution_ZernikeMagnitude_7_3,0.028785078,0.04096587,0.01950302,0.02176561,-0.1074385,0.024593396,-0.0018295429,0.031469516,0.031995624,-0.027357258,-0.089616686,-0.032089163,-0.0007243158,0.017888244,0.0058645923
nucleus_RadialDistribution_ZernikePhase_7_3,-0.0031547588,0.00044649292,-0.0065556034,-0.0046374225,-0.002961574,-0.0010753042,-0.013506103,0.0019972054,-0.0024349755,0.0050929757,0.009916494,0.006343846,0.00017792312,0.0052542007,0.0133898705
nucleus_RadialDistribution_ZernikeMagnitude_7_5,0.021627912,0.036424696,0.0180572,0.012779325,-0.10940236,0.020159818,0.0015184735,0.025864394,0.032388136,-0.02401702,-0.0688004,-0.026477333,-0.013487422,0.017457368,0.008021697
nucleus_RadialDistribution_ZernikePhase_7_5,-0.0020063552,-0.002930633,-0.0022915131,0.006695759,-2.7075692e-05,0.0067933737,0.013495832,-0.011502615,0.0073557706,-0.027034488,-0.01367888,-0.0057959463,0.014368728,0.012264355,-0.025907818
nucleus_RadialDistribution_ZernikeMagnitude_7_7,0.026365453,0.02661483,0.009900172,-0.009575102,-0.08493488,-0.0025634146,-0.007897369,0.01941135,0.01838681,-0.040665958,-0.14681076,0.006319946,-0.030199753,-0.0064940047,0.00020861067
nucleus_RadialDistribution_ZernikePhase_7_7,0.0036675169,-0.00574766,0.0034781757,-0.004223627,0.0057704556,-0.0011137967,0.009076708,-0.014275713,0.008065847,0.004069003,0.016024565,-0.015808422,0.011518487,0.02193608,0.008371662
nucleus_RadialDistribution_ZernikeMagnitude_8_0,0.01672145,0.022810517,0.01872712,0.020829026,-0.013004836,0.015010399,-0.015715208,0.020261597,0.014190733,-0.030905426,0.007939293,-0.054605722,-0.019800652,-0.088294625,0.016754959
nucleus_RadialDistribution_ZernikePhase_8_0,0.008079716,-0.018695032,-0.002554107,-0.005730456,0.031615544,-0.010686342,0.0030901849,-0.023972964,-0.0040216036,0.02317182,0.02853919,0.03167068,0.0010590078,-0.050453708,0.0063141473
nucleus_RadialDistribution_ZernikeMagnitude_8_2,0.016534088,0.016306346,0.011228141,0.027833164,0.011906208,-0.0050364845,-0.02515905,0.0016818284,0.031928852,-0.015852755,0.011510975,-0.06315461,-0.031480074,-0.12758248,-0.002892496
nucleus_RadialDistribution_ZernikePhase_8_2,-0.0018282008,-0.0020738193,-0.005464928,0.0018849323,-0.0028239393,-0.015015734,0.009989791,-0.0107180225,-0.010737242,-0.00066268403,-0.012650808,-0.05107734,0.121524125,-0.034936443,-0.08352253
nucleus_RadialDistribution_ZernikeMagnitude_8_4,0.035733063,0.034009285,0.051895913,0.03694259,-0.113604955,0.020421356,0.012884336,0.007558148,0.011733851,0.023703985,0.07586528,-0.030921696,-0.0027221614,-0.026310878,0.05791542
nucleus_RadialDistribution_ZernikePhase_8_4,-0.0027899032,-0.004749925,0.003478252,-0.00041344672,-0.0023748046,0.007323451,0.0075642816,-0.0036077674,-0.013698232,0.013303227,-0.029516714,-0.0021831556,-0.0047912346,-0.019962685,0.029156033
nucleus_RadialDistribution_ZernikeMagnitude_8_6,0.02842012,0.029872786,0.035593368,0.026282815,-0.10494332,0.01638668,-0.0010937699,0.0135378195,0.03169499,0.01557542,0.04383021,-0.04403897,-0.01618048,-0.042053595,0.033998705
nucleus_RadialDistribution_ZernikePhase_8_6,0.0005463859,0.00426237,-0.0042666243,0.0009027642,4.7773698e-05,-0.0045049298,0.0047054864,-0.0078841895,0.0043911077,0.005583083,0.010632381,-0.0112561695,-0.011064612,0.007859429,-0.010574786
nucleus_RadialDistribution_ZernikeMagnitude_8_8,0.030192947,0.02696034,0.03390633,0.000116038515,-0.10492239,0.012111661,-0.00385462,0.010617099,0.01821369,-0.035279475,-0.07204998,-0.02241575,-0.013188172,-0.05121093,0.014361231
nucleus_RadialDistribution_ZernikePhase_8_8,0.0011955715,-0.0042809923,-0.0016436948,3.0473146e-05,0.005563704,0.012138904,0.015207796,0.0119344685,0.00058777595,-0.019171108,-0.005204388,-0.010395231,-0.0080331955,-0.005296446,-0.013431
nucleus_RadialDistribution_ZernikeMagnitude_9_1,0.028688388,0.031834606,0.010491129,0.019481618,-0.06302866,0.0053971624,0.0010041463,0.03802121,0.025122363,-0.018545453,-0.07325322,-0.009379145,0.008312015,0.0005803603,0.0146462
nucleus_RadialDistribution_ZernikePhase_9_1,-0.004119116,0.0011893497,-0.0008848111,0.0011724846,-0.0031629463,0.0036490809,0.0044910647,-0.008239044,0.0026973488,0.013281941,0.0021342721,-0.004544945,-0.0149392085,0.0025946263,-0.0017147139
nucleus_RadialDistribution_ZernikeMagnitude_9_3,0.029528199,0.034882415,0.014189667,0.023898588,-0.077977486,-0.003280769,-0.0020957934,0.035566308,0.02211381,-0.016820287,-0.06546511,-0.0028091134,0.0008324369,0.040596545,-0.017476898
nucleus_RadialDistribution_ZernikePhase_9_3,0.0034097324,0.0031658509,-0.0054823994,0.0036199333,-0.0008247463,-0.0058061625,-0.0070178844,0.010835269,-0.012361356,0.009018818,-0.006181771,0.014062746,0.0052020526,-0.0055509903,0.00041047507
nucleus_RadialDistribution_ZernikeMagnitude_9_5,0.026252786,0.03729363,0.023647077,0.012864398,-0.11357614,0.01845605,0.011733834,0.03747809,0.028947728,-0.022244876,-0.055812795,-0.036998756,0.007068176,0.03042028,-0.00011381507
nucleus_RadialDistribution_ZernikePhase_9_5,0.0011358759,0.0018076793,0.005714256,-0.0004998685,0.006362652,-0.004777738,-0.00040419737,0.0069841663,-0.010322799,0.0061127217,-0.007057416,-0.010249712,0.008518358,0.0017615203,0.002786927
nucleus_RadialDistribution_ZernikeMagnitude_9_7,0.030949466,0.03819852,0.01719127,0.0022406075,-0.115265,0.009648741,0.0034792009,0.024017988,0.016715214,-0.02318,-0.06566073,-0.005257289,-0.004744015,0.0099214,0.003139181
nucleus_RadialDistribution_ZernikePhase_9_7,-0.004221855,0.00052235875,0.0005274432,-6.0877122e-05,-0.0037707824,0.003135881,0.006857799,-0.0058660414,0.0034940077,0.008721326,-0.012961872,0.00093838753,0.009298463,-0.000577633,0.012599217
nucleus_RadialDistribution_ZernikeMagnitude_9_9,0.030083548,0.017663913,0.011209346,-0.014678807,-0.07031126,0.001908512,-0.0084739905,-0.0011678863,0.007439093,-0.04712234,-0.14822227,0.0017968806,-0.033910878,-0.007981922,0.00060559995
nucleus_RadialDistribution_ZernikePhase_9_9,0.0026263446,0.0041025905,-0.004240445,0.0030839755,-0.008851787,0.006249416,-0.005773486,-0.009438714,0.02203738,-0.010300213,0.004019941,0.0008182419,0.00072901155,0.015218249,-0.0069944835
nucleus_Intensity_IntegratedIntensity,-0.046691008,0.11948942,0.009152195,-0.008562406,0.017282318,-0.041139882,-0.07412561,0.008517301,-0.0022844113,0.0073268972,0.035869446,0.01164447,-0.007595745,0.01573955,-0.030503679
nucleus_Intensity_MeanIntensity,0.08545914,0.041421432,-0.0020242166,0.07132791,0.026311105,-0.04539704,-0.0875583,-0.013056358,-0.0066311574,3.34481e-05,-0.005850402,-0.03635258,0.0032180056,0.00799331,0.016459733
nucleus_Intensity_StdIntensity,0.072476536,0.06544126,-0.012299155,0.069357075,0.046207976,0.0034152411,0.11243495,0.04191815,0.0009536467,-0.0054551205,-0.0050896457,-0.012257696,-0.020750578,-0.01209211,-0.029907215
nucleus_Intensity_MinIntensity,0.042976122,0.032292433,-0.007866204,0.040215135,0.04142618,-0.038998578,-0.10672567,-0.029124362,-8.9989306e-05,-0.0056458754,-0.0056823734,-0.10317527,-0.013441376,0.022724112,0.04725031
nucleus_Intensity_MaxIntensity,0.05567355,0.048435453,-0.029047037,-0.045255106,0.011503259,0.059995126,0.038580086,-0.06475414,-0.030025898,-0.0010260162,0.01544262,0.0033506835,-0.020700132,0.005151239,-0.07890205
nucleus_Intensity_MassDisplacement,0.0011558844,0.056954622,0.005525808,0.029451575,-0.027520822,-0.012711152,0.022975842,0.038496334,0.03202252,0.0023981282,-0.0021132077,0.09653345,0.012673529,0.01058613,-0.074524276
nucleus_Intensity_LowerQuartileIntensity,0.08143081,0.03217773,-0.0004981758,0.061487157,0.020288233,-0.046572816,-0.11881134,-0.024263097,-0.009097004,0.000803565,-0.006908402,-0.039067954,0.007971198,0.005779508,0.023805916
nucleus_Intensity_MedianIntensity,0.083982654,0.03574838,0.0010915388,0.066710725,0.0175133,-0.055040937,-0.104110986,-0.024909152,-0.011517075,0.0012246766,-0.006758526,-0.030030644,0.0054893224,0.010338156,0.019203506
nucleus_Intensity_MADIntensity,0.07192388,0.050879862,0.004396457,0.07906513,0.0013987585,-0.076967075,0.026462467,-0.01268406,-0.014886728,0.003644456,-0.0003549275,0.030630892,-0.0128972195,0.03819257,-0.023223978
nucleus_Intensity_UpperQuartileIntensity,0.08551182,0.04359454,-0.0024792755,0.07329991,0.0211016,-0.050341845,-0.084576696,-0.016527746,-0.006831443,0.0014357215,-0.0033277085,-0.024997,0.0022690143,0.017916493,0.007718228
nucleus_Location_CenterMassIntensity_X,-0.0041625486,-0.00552353,0.0012199626,-0.0018354014,0.009041503,-0.009194496,0.008094525,-0.0025284633,-0.005069484,0.035151243,0.016398015,-0.02674108,0.035153393,0.21815373,-0.0060407734
nucleus_Location_CenterMassIntensity_Y,-0.0060052937,0.009777459,0.006352485,0.0044361595,-0.002194202,-0.0012718573,-0.008473707,0.019250693,-0.026911628,-0.034431342,0.0007352285,0.10357852,0.06703098,0.083184406,0.19089533
nucleus_Location_MaxIntensity_X,0.00060638745,-0.009441811,0.001213457,-0.0059398725,0.0077076238,9.5033676e-05,0.014008126,-0.007530789,-0.013507752,0.03090525,0.006952297,-0.010061622,0.026289605,0.16986959,-0.016884021
nucleus_Location_MaxIntensity_Y,-0.0033859706,0.008417686,0.0060557383,0.0018756705,0.005853388,-0.008232052,-0.006098456,0.004863433,-0.022153607,-0.023536436,0.0050894907,0.088382095,0.057250097,0.07285242,0.15127005
nucleus_Intensity_IntegratedIntensityEdge,-0.010436056,0.12664045,0.007658294,-0.00017219009,-0.030831417,-0.011371213,-0.070844464,-0.0190313,0.008096904,-0.002088147,0.03528482,-0.032953136,-0.022464551,0.013009128,-0.038342103
nucleus_Intensity_MeanIntensityEdge,0.08198211,0.05129167,0.0015302497,0.056810357,0.025655705,-0.035495628,-0.08089869,-0.039024726,-0.008178891,0.0005178703,-0.01406925,-0.037395675,0.009205296,0.0144217005,0.036348857
nucleus_Intensity_StdIntensityEdge,0.05932,0.03251651,-0.033162262,-0.025386091,-0.02491362,0.056686234,0.02661349,-0.057320215,-0.016586034,0.007985891,-0.0052254493,0.08219106,-0.0072060577,0.006993889,-0.07710482
nucleus_Intensity_MinIntensityEdge,0.03911039,0.03635044,-0.0041924156,0.03800115,0.04270784,-0.041957248,-0.09613708,-0.027943743,-0.00058647135,-0.0077684117,-0.008315597,-0.10298405,-0.012166965,0.02118351,0.051682696
nucleus_Intensity_MaxIntensityEdge,0.047478285,0.04563626,-0.031754736,-0.051197503,-0.004482642,0.057458576,0.002370079,-0.064608015,-0.009705387,0.0068925614,0.0031007875,0.023353545,-0.021082096,0.0086086765,-0.07048777
nucleus_Area,-0.06388085,0.10927878,0.008852125,-0.023060638,0.01088332,-0.028793715,-0.04736624,0.01317219,-0.004734028,0.008763504,0.03722573,0.025507655,-0.0071362117,0.011859906,-0.03194823
nucleus_BoundingBoxArea,-0.05172813,0.10880057,0.01647003,-0.023616005,-0.039560445,-0.015421474,-0.04903204,0.02013856,0.014606176,-0.004288046,-0.0015677703,0.0077010943,-0.02649702,-0.024827283,-0.036261577
nucleus_ConvexArea,-0.057155237,0.11070327,0.012138989,-0.02436348,-0.019976005,-0.020677496,-0.05075381,0.017336916,0.0058961133,0.00057852635,0.015258377,0.01597094,-0.021115161,-0.012546557,-0.03951373
nucleus_EquivalentDiameter,-0.06894804,0.10285337,0.007614938,-0.021120137,0.011593835,-0.019809399,-0.042372137,0.011575775,0.009722185,0.0036896297,0.04401061,-0.008814284,-0.014268664,0.022928478,-0.03393974
nucleus_Perimeter,-0.05032765,0.11344133,0.007797427,-0.023556558,-0.044275116,0.006279645,-0.032811135,0.0004422555,0.01034032,-0.0016760501,0.047957446,-0.016878376,-0.028285114,0.006465661,-0.055897404
nucleus_MajorAxisLength,-0.05310396,0.1044815,0.028768092,-0.01111825,-0.061618514,0.0063860575,-0.03385585,0.013472931,0.024311095,0.006061683,0.08792629,-0.034330163,-0.019620704,-0.018452683,-0.030828469
nucleus_MinorAxisLength,-0.070778586,0.09453776,-0.010268693,-0.02789686,0.044334345,-0.0309752,-0.05057688,0.010545507,0.004170419,-0.01211796,-0.009629565,-0.0008571766,-0.025389412,0.020235484,-0.043251105
nucleus_Eccentricity,0.022055218,0.016609311,0.06539515,0.02928668,-0.13118635,0.04198161,0.034844544,0.010675102,0.022552598,0.06423895,0.18793505,-0.01258842,0.040990952,0.01708926,0.03990704
nucleus_Orientation,-0.0038944413,-0.0037900698,-0.00064175745,-0.0022122143,-0.0034971528,0.00577114,0.0015710312,-0.021717146,0.02215582,0.17150557,-0.0371013,-0.018838812,-0.036384307,-0.008541027,0.0020426891
nucleus_Center_X,-0.0042462847,-0.0054935934,0.00097447855,-0.0017634197,0.00921805,-0.008811057,0.008089389,-0.0026675053,-0.004730748,0.03535442,0.016086591,-0.027014397,0.03464241,0.21806636,-0.0056824153
nucleus_Center_Y,-0.00605876,0.009946594,0.006372665,0.004568248,-0.0020384106,-0.0008476361,-0.008271455,0.019237563,-0.026970854,-0.034144893,0.0011851807,0.10324491,0.066683985,0.08314861,0.19057772
nucleus_BoundingBoxMinimum_X,0.023407724,-0.053911675,-0.00724496,0.009001629,0.030519972,-0.00023334833,0.025828078,-0.010939167,-0.014953859,0.030844493,0.018353874,0.005065344,0.003499693,0.20338048,0.02953527
nucleus_BoundingBoxMaximum_X,-0.03123085,0.043559253,0.0077226143,-0.012182141,-0.007136012,-0.015022623,-0.011263859,0.0023210647,0.0051340726,0.031221235,0.02264457,-0.04462195,0.05874043,0.18329461,-0.03761094
nucleus_BoundingBoxMinimum_Y,0.020596465,-0.04237167,-0.0026086895,0.014014828,0.019981936,-0.0028028302,0.015124567,0.0068135615,-0.038529526,-0.019712672,-0.003495789,0.08943921,0.121526554,0.07483573,0.1700829
nucleus_BoundingBoxMaximum_Y,-0.029312206,0.05445753,0.012941351,-0.005225433,-0.020461867,-1.4580967e-05,-0.025745122,0.027231056,-0.00886427,-0.037053894,0.004817716,0.09249151,0.007906141,0.07600278,0.16794142
nucleus_FormFactor,-0.036541127,-0.05723666,0.004330281,0.021987705,0.12537937,-0.0593776,-0.027718404,0.035802424,0.007548503,0.001173314,-0.026080836,0.005206966,0.016991537,-0.01715625,0.05801601
nucleus_Extent,-0.011820428,-0.0513265,-0.025250344,0.012070557,0.16407427,-0.03765862,0.004310293,-0.014903279,-0.046441495,0.025697421,0.068869345,0.045704793,0.03235646,0.05146095,0.009869403
nucleus_Solidity,-0.012531224,-0.050674643,-0.011705465,0.027692089,0.16201836,-0.033819843,0.0082999375,-0.016233534,-0.04715883,0.03967774,0.10581028,0.038591094,0.054451548,0.081368566,0.02411335
nucleus_Compactness,0.02802695,0.059075527,-0.0037558652,-0.012162548,-0.12175374,0.056282397,0.019574251,-0.024490254,0.001342448,-0.008918018,0.019522982,-0.023321705,-0.031436432,-0.017711982,-0.06221938
nucleus_EulerNumber,0.006722093,0.034602974,-0.0025988235,-0.014462479,-0.051949546,0.013329532,-0.0094216885,0.01148853,0.018074308,-0.010403718,-0.06822206,-0.03304059,-0.027676724,-0.049717747,-0.041286558
nucleus_MaximumRadius,-0.07293132,0.085406646,-0.006745755,-0.023716556,0.06481516,-0.035825256,-0.05117396,0.012935655,0.005558349,-0.0077613057,-0.008276381,-0.0035758668,-0.0155337425,0.011214849,-0.0330446
nucleus_MeanRadius,-0.073614866,0.08487089,0.00030877296,-0.018376146,0.06138017,-0.03729757,-0.048677545,0.016035784,0.0074029886,0.00025195413,0.013776366,-0.004295703,-0.010222051,0.020434745,-0.02533745
nucleus_MedianRadius,-0.07348569,0.08498607,0.0026693104,-0.015972668,0.058757994,-0.037064128,-0.047555525,0.017512435,0.008079696,0.002690054,0.022190798,-0.0053103333,-0.008245166,0.024711747,-0.021693468
nucleus_FilledArea,-0.06387647,0.109287836,0.008848161,-0.023059594,0.0108609935,-0.02878429,-0.047366913,0.013173987,-0.0047349157,0.00875315,0.037232686,0.025523406,-0.007146029,0.011853931,-0.031970955
nucleus_SpatialMoment_0_0,-0.06388085,0.10927878,0.008852125,-0.023060638,0.01088332,-0.028793715,-0.04736624,0.01317219,-0.004734028,0.008763504,0.03722573,0.025507655,-0.0071362117,0.011859906,-0.03194823
nucleus_SpatialMoment_0_1,-0.0492461,0.10079756,0.011508536,-0.022327438,-0.006661374,-0.030051922,-0.045909587,0.01399004,-0.009775294,0.012691504,0.017462462,0.035614494,0.012474948,-0.013942364,-0.038043283
nucleus_SpatialMoment_0_2,-0.034184534,0.08073344,0.011287459,-0.018814845,-0.012865488,-0.027032899,-0.039785407,0.01217146,-0.01136424,0.014182412,0.006113605,0.041063298,0.012840102,-0.026038272,-0.03495918
nucleus_SpatialMoment_0_3,-0.023196312,0.06102885,0.009631922,-0.014915931,-0.013313348,-0.022703787,-0.032735955,0.009680761,-0.010816304,0.014284663,0.00025641607,0.03955675,0.00934754,-0.027288636,-0.0302832
nucleus_SpatialMoment_1_0,-0.047637165,0.098478734,0.011382715,-0.02048052,-0.005328218,-0.026577676,-0.046490718,0.014603463,-0.008408957,0.0052752644,0.018283468,0.04963945,-0.02846502,-0.0048561753,-0.024704743
nucleus_SpatialMoment_1_1,-0.036946982,0.086431235,0.011442398,-0.018665317,-0.01103114,-0.027587168,-0.043239135,0.012770911,-0.012490793,0.015386004,0.006695003,0.052258812,-0.009112065,-0.020417504,-0.031556614
