image_file,mask_file,cell_mean_intensity,cell_extent,cell_eccentricity,cell_solidity,cell_moments_hu-0,cell_moments_hu-1,cell_moments_hu-2,cell_moments_hu-3,cell_moments_hu-4,cell_moments_hu-5,cell_moments_hu-6,cell_area_um2,cell_convex_area_um2,cell_perimeter_um,cell_axis_major_length_um,cell_axis_minor_length_um,cell_feret_diameter_max_um,label_1_area_um2,label_1_intensity_mean,label_1_intensity_std,label_2_area_um2,label_2_intensity_mean,label_2_intensity_std,label_3_area_um2,label_3_intensity_mean,label_3_intensity_std,label_4_area_um2,label_4_intensity_mean,label_4_intensity_std
20240227.155854.721.MDAMB231Pack-001Stitching_HT2D_0.png_mip1.tiff,20240227.155854.721.MDAMB231Pa_unet_mask_combined_masks_mask1.tiff,1.3520891557886154,0.501674266029844,0.6221594078088654,0.7025428773600799,0.2051697275291463,0.0024244255570288658,0.001393107491555043,8.474441856097009e-05,-1.6561691121326945e-08,2.7058177851833674e-06,2.3949076624094927e-08,2258.03695,3214.0913,316.3823177799793,67.79162656076282,53.073426314512496,77.08909034357585,1834.087575,1.3498410130743075,0.007660774099682212,255.127725,1.357258113127454,0.0037870188290802893,24.773625,1.3672851001821495,0.004109284019619231,144.210475,1.3689533074660492,0.011194377966080271
20240227.155854.721.MDAMB231Pack-001Stitching_HT2D_0.png_mip10.tiff,20240227.155854.721.MDAMB231Pa_unet_mask_combined_masks_mask10.tiff,1.3499416737534498,0.2878690228170886,0.9774360938083285,0.6242849094218601,0.5665532936198856,0.2684846423569444,0.11250265956209982,0.08463332773833257,0.008258313728677389,0.04375810556628951,-2.5945514640439947e-05,1040.02295,1665.9428,265.3161027818563,94.99985506891262,20.06694747812707,94.12664049035214,872.30235,1.3493528565812072,0.005441173301727705,139.86945,1.351398606271777,0.002499771184463137,10.171175,1.3589779059449867,0.0023115119982084773,17.679975,1.3622684532924962,0.011783433972684044
20240227.155854.721.MDAMB231Pack-001Stitching_HT2D_0.png_mip11.tiff,20240227.155854.721.MDAMB231Pa_unet_mask_combined_masks_mask11.tiff,1.351803892794376,0.3507041819470554,0.9732657336355457,0.663025271283956,0.5034258764624735,0.20518384185200111,0.025960204325244124,0.006679244596297567,7.045962930194245e-05,0.0015056952033467605,5.264002254029404e-05,821.636,1239.22275,230.09299528279473,79.28738185799853,18.210882818629678,85.97295301430562,660.440475,1.3508382596099977,0.007083015620061797,128.0106,1.3539952622673435,0.0034466316475756102,8.402275,1.3616858216970997,0.002914310195681065,24.78265,1.3628678441369264,0.008862197651231965
20240227.155854.721.MDAMB231Pack-001Stitching_HT2D_0.png_mip8.tiff,20240227.155854.721.MDAMB231Pa_unet_mask_combined_masks_mask8.tiff,1.3507911574385638,0.35272221700524825,0.9483790058591891,0.6405026596626515,0.438159996354599,0.12821891666175167,0.04696744899658767,0.018190085944067604,0.0005288450413489617,0.006316501079508942,-5.483539550640802e-05,1220.369525,1905.330925,258.63909701334734,88.16815697181453,27.9615772480326,88.14838016095361,1040.663725,1.349531583831271,0.00845820029618775,131.2596,1.35507949669967,0.0041137882762865095,9.034025,1.361600799200799,0.0026224724972134035,39.412175,1.3672899244332495,0.011059426220628773
20240227.161551.545.MDAMB231Pack-002Stitching_HT2D_0_3.tif_submask_255.tiff,20240227.161551.545.MDAMB231Pack-002Stitching_HT2D_0_3.tif_submask_255.tiff,1.3466110743122008,0.41796734630107024,0.89938319555825,0.701246684072012,0.3001471496353556,0.04154740245982397,0.01886677411273238,0.005117022849308877,4.607585918919509e-05,0.0007969203986356171,-2.0121033675932315e-05,1207.184,1721.48265,232.7092102809178,69.76505277867034,30.498570421510873,77.8010560660972,980.503075,1.3457227230470439,0.005261261547971619,206.663475,1.3496508057120398,0.003043671052296709,14.67465,1.3575488314883146,0.003105425437241341,5.3428,1.3620190878378378,0.007064568796187657
20240227.162013.489.MDAMB231Pack-003Stitching_HT2D_0.png_mip10.tiff,20240227.162013.489.MDAMB231Pa_unet_mask_combined_masks_mask10.tiff,1.3498466991542633,0.21364390795926066,0.9782404121530442,0.520087420453815,0.653230357723002,0.3591769419767405,0.019704324688086527,0.028303201265033065,0.0006682407215308922,0.016660058236873186,1.442624187141542e-05,511.148925,982.813475,227.5005097040669,71.5673982663533,14.848414980219847,62.309137772882075,503.90185,1.3494807787369705,0.0065920509548050435,139.716025,1.3553557392933273,0.00371184112293568,16.921875,1.3618032533333333,0.0027009874890162335,12.355225,1.367045288531775,0.010552197715799815
20240227.162013.489.MDAMB231Pack-003Stitching_HT2D_0.png_mip20.tiff,20240227.162013.489.MDAMB231Pa_unet_mask_combined_masks_mask20.tiff,1.348504765390748,0.41846431456477723,0.7265324455154397,0.6370701633898197,0.2655685584480174,0.009067109981518677,0.013812135285824444,0.00019919883956237647,-1.604610794434717e-07,-1.879988619446778e-05,-2.8883688833646724e-07,1799.92795,2825.321375,323.30101835683024,72.07750732033449,49.52677330854347,78.85400592233727,1593.97745,1.347842321280957,0.0056062258080021585,151.033375,1.3513005138930387,0.002958082571461266,19.6745,1.3577043577981651,0.001946654222241664,35.242625,1.361349218950064,0.010270742107367692
20240227.162013.489.MDAMB231Pack-003Stitching_HT2D_0.png_mip23.tiff,20240227.162013.489.MDAMB231Pa_unet_mask_combined_masks_mask23.tiff,1.3495067787233654,0.46380263681187806,0.8424749218077974,0.7178209302941254,0.25355713655642065,0.019455450441301425,0.006589172581734473,0.00023089210277399988,-2.840640617062143e-07,-3.045457734534352e-05,2.0360944171254228e-08,978.824425,1363.6053,201.91734557122015,55.477352943466805,29.887622934883503,58.929488585936326,776.899075,1.348466011872263,0.0059770436597522646,172.86485,1.352454771849222,0.0029235562604020965,18.762975,1.3591560846560846,0.002444931788862177,10.5412,1.360832705479452,0.010693345879800135
20240227.162013.489.MDAMB231Pack-003Stitching_HT2D_0.png_mip7.tiff,20240227.162013.489.MDAMB231Pa_unet_mask_combined_masks_mask7.tiff,1.349397853287303,0.46169561675803006,0.907123444153213,0.7908618492009021,0.26002570989343526,0.03304086903488597,0.0034519412250583045,0.00031989188208777613,-2.6399957565990185e-07,-5.088724547775537e-05,-2.0809329802637852e-07,946.34345,1196.597675,190.9203964364965,57.83368374372927,24.340153303920413,59.67633534324976,717.9116750000001,1.3478449243843262,0.0055285930372021815,191.67295000000001,1.3530973632168755,0.003148510981751599,27.733825,1.360563586072242,0.0030548801350622156,10.459975,1.3597893011216566,0.009913414941455548
20240227.162118.138.MDAMB231Pack-004Stitching_HT2D_0.png_mip11.tiff,20240227.162118.138.MDAMB231Pa_unet_mask_combined_masks_mask11.tiff,1.350523379838868,0.43916878095928474,0.8908461990758096,0.66137291087256,0.2651284589811463,0.030419072480801477,0.0019638705571691745,0.0008312419497138214,9.575745358011627e-07,0.00011827517213053773,4.59363634996194e-07,918.5645,1388.8753,193.19248663003137,56.83273814811072,25.819398140639812,60.2980648528624,739.52655,1.3490232298455005,0.006170333357387891,144.390975,1.3548029876867302,0.003407685335274505,14.268525,1.3640777356103733,0.0033123116029854503,20.37845,1.365149778565102,0.011326093408176374
