Type,image_file,mask_file,cell_mean_intensity,cell_extent,cell_eccentricity,cell_solidity,cell_moments_hu-0,cell_moments_hu-1,cell_moments_hu-2,cell_moments_hu-3,cell_moments_hu-4,cell_moments_hu-5,cell_moments_hu-6,cell_area_um2,cell_convex_area_um2,cell_perimeter_um,cell_axis_major_length_um,cell_axis_minor_length_um,cell_feret_diameter_max_um,label_1_area_um2,label_1_intensity_mean,label_1_intensity_std,label_2_area_um2,label_2_intensity_mean,label_2_intensity_std,label_3_area_um2,label_3_intensity_mean,label_3_intensity_std,label_4_area_um2,label_4_intensity_mean,label_4_intensity_std
PaclitaxelR,20240227.174458.324.MDAMB231Pack-055_HT2D_0.tif_submask_255.tiff,20240227.174458.324.MDAMB231Pack-055_HT2D_0.tif_submask_255.tiff,1.3509423339638504,0.1198362892223738,0.8032051942069236,0.2211643121927789,1.027203928235902,0.2392377043269979,1.5413447663124484,0.5311779490745803,0.4805944630500448,0.1853047421234459,-0.005760005,515.2914,2329.903025,396.2432795030244,79.06191633754361,47.097377732673166,85.93725414510287,506.925225,1.350604592,0.006327027,115.294375,1.357184602739726,0.003333365,16.145725,1.3665632755729458,0.003201708,11.524925,1.3697448707909163,0.009977845
PaclitaxelR,20240227.174644.559.MDAMB231Pack-056_HT2D_0.tif_submask_255.tiff,20240227.174644.559.MDAMB231Pack-056_HT2D_0.tif_submask_255.tiff,1.3483145125665017,0.4438202247191011,0.7887898159134863,0.7793689556370208,0.235791806792454,0.011337663,0.008621067,0.000898781,2.4991919600761425e-06,9.3544676286866e-05,1.153018063499562e-07,1229.881875,1578.048325,203.83316518415035,58.03116404781176,35.66961046067953,60.03909809449173,1097.810025,1.347344406080187,0.006733323,107.48775,1.354453098236776,0.002925351,10.9383,1.3631025577557756,0.002473073,13.6458,1.3661525132275134,0.007445867
PaclitaxelR,20240227.174726.402.MDAMB231Pack-057_HT2D_0.png_mip25.tiff,20240227.174726.402.MDAMB231Pa_unet_mask_combined_masks_mask25.tiff,1.3508885272211384,0.464650626235992,0.9603936006060424,0.6900222706248011,0.3648597914939897,0.097521036,0.005980359,0.003076307,1.3171452422495322e-05,0.000933951,-7.87e-07,1017.8395,1475.0821,215.7682496091764,74.25487312106799,20.690895139738195,71.05853942349223,841.572225,1.3496778346148486,0.006119252,153.51525,1.3556931628453852,0.003646848,13.6458,1.361558664021164,0.002928907,9.106225,1.3657901883052528,0.009189217
PaclitaxelR,20240227.174831.605.MDAMB231Pack-058_HT2D_0.png_mip6.tiff,20240227.174831.605.MDAMB231Pa_unet_mask_combined_masks_mask6.tiff,1.3533012183891762,0.4022854211786162,0.6362313052640169,0.697669821,0.2126595349533497,0.00291202,0.005980083,0.000284187,-1.2e-08,-9.72e-07,3.702805443237873e-07,254.81185,365.232725,111.2659328805006,23.31327771993244,17.986155628675775,31.245180828409364,282.24785,1.3506965882202469,0.006590236,163.217125,1.3572067569809234,0.003383026,17.300925,1.3673132498695877,0.003318286,30.685,1.3779433235294118,0.0137791655220323
PaclitaxelR,20240227.174855.980.MDAMB231Pack-059_HT2D_0.png_mip1.tiff,20240227.174855.980.MDAMB231Pa_unet_mask_combined_masks_mask1.tiff,1.350728278144066,0.6022684338027752,0.7179951860405599,0.7937279712564561,0.1916884748020196,0.004431265,0.000769372,0.000130856,3.1639519717916274e-08,5.513101300110129e-06,-2.69e-08,733.6964,924.367575,146.72118720688226,38.93396058057245,27.099908037669618,40.42783014211869,615.423775,1.3488780557551583,0.006420165,98.8418,1.359162563915267,0.004494954,10.875125,1.3667609958506226,0.003890634,7.96005,1.3675138321995464,0.010314645
PaclitaxelR,20240227.175123.212.MDAMB231Pack-060Stitching_HT2D_0.png_mip10.tiff,20240227.175123.212.MDAMB231Pa_unet_mask_combined_masks_mask10.tiff,1.352311636734776,0.3710815500289184,0.936822798650514,0.8059615610602113,0.2853776373590562,0.049796975,0.000538521,0.000266294,1.0080659367952964e-07,5.5026649695016405e-05,2.681637518814879e-09,1795.0364,2227.198525,303.7191536471326,85.45547865770608,29.892693359254725,100.33169439414446,1407.927075,1.35025067,0.007201639,237.366525,1.354132002585453,0.003338954,28.816825,1.361679517694958,0.002825498,133.87685,1.371071713630848,0.0139422065724706
PaclitaxelR,20240227.175123.212.MDAMB231Pack-060Stitching_HT2D_0.png_mip15.tiff,20240227.175123.212.MDAMB231Pa_unet_mask_combined_masks_mask15.tiff,1.3492648422677918,0.5293319992432931,0.8026213447463657,0.7570840317838126,0.2144740996347124,0.0103848905395068,0.002674387,0.00017387,-9.18e-08,-5.16e-06,7.505325371187176e-08,6464.688725,8538.93155,488.3520922961421,127.91561884964844,76.30024347091094,127.97385084461592,5777.525225,1.3480297329298991,0.00577103,448.515425,1.357447540092963,0.003075723,75.2324,1.3694657149712093,0.004449769,163.415675,1.3611734246424037,0.0110122946297049
PaclitaxelR,20240227.175123.212.MDAMB231Pack-060Stitching_HT2D_0.png_mip26.tiff,20240227.175123.212.MDAMB231Pa_unet_mask_combined_masks_mask26.tiff,1.350929703777336,0.3020476790968594,0.9870066238448758,0.6798859197383182,0.7294838656816695,0.4799224698184818,0.008175251,0.001042234,-1.1e-06,-0.000469303,2.8365424694471848e-06,907.915,1335.39315,298.86344730177285,101.63780813243196,16.33111939215791,90.50583738080104,863.863975,1.3498981194956068,0.006704283,140.84415,1.3571635524798151,0.004246069,11.633225,1.367234755624515,0.003522086,49.863125,1.3703673484162897,0.0131885040414543
PaclitaxelR,20240227.175123.212.MDAMB231Pack-060Stitching_HT2D_0.png_mip6.tiff,20240227.175123.212.MDAMB231Pa_unet_mask_combined_masks_mask6.tiff,1.353688311573357,0.496484289,0.8864454569872451,0.8933566606371517,0.2248470086568045,0.021173444,0.001219608,0.000114154,3.360485340539747e-09,-7.97e-06,-4.25e-08,815.6795,913.050225,159.03067855411896,49.16042438805705,22.753070200502023,54.05842256300123,597.427925,1.3532299379125945,0.006244787,193.08085,1.3537779143685145,0.002768413,21.42535,1.3636674810446503,0.004554036,3.745375,1.365099036144578,0.007784823
PaclitaxelR,20240227.175123.212.MDAMB231Pack-060Stitching_HT2D_0.png_mip7.tiff,20240227.175123.212.MDAMB231Pa_unet_mask_combined_masks_mask7.tiff,1.3498544381431643,0.6536904731309913,0.7020944875926504,0.8529189859835021,0.1928671036739378,0.003979565,0.00091145,1.777544992989967e-05,-1.94e-09,1.0025796363531382e-06,-1.17e-09,918.230575,1076.5742,181.28372941939529,43.36099048049469,30.876658637749674,45.99462060937127,759.67035,1.3487581984935963,0.005459749,135.257675,1.3537942149863216,0.002991077,16.94895,1.3611056975505855,0.002794372,6.3536,1.3670413352272726,0.0120125211158223
PaclitaxelR,20240227.175241.448.MDAMB231Pack-061_HT2D_0.tif_submask_255.tiff,20240227.175241.448.MDAMB231Pack-061_HT2D_0.tif_submask_255.tiff,1.3510092874390418,0.5122080164519633,0.9198744485324796,0.883117861,0.2452449830192707,0.032346707,0.000488848,0.000170971,4.699483979965999e-08,2.5186952747554643e-05,1.5316105712400832e-08,953.085125,1079.22755,166.23389932075094,56.931785140005566,22.32938345581791,58.104752387390825,765.4283,1.349245883837193,0.006863151,140.997575,1.3551658708314662,0.004449202,13.510425,1.362878824315297,0.003350586,33.148825,1.3692098829294854,0.010027687
PaclitaxelR,20240227.175358.994.MDAMB231Pack-063Stitching_HT2D_0.png_mip10.tiff,20240227.175358.994.MDAMB231Pa_unet_mask_combined_masks_mask10.tiff,1.3500545013397398,0.524591785,0.8808022861843294,0.8317911292008411,0.2231834421281081,0.020005155,0.001530731,0.000197691,6.708959354484348e-08,9.789220088903642e-06,-8.56e-08,2441.939375,2935.7603,300.4851987,84.39845086,39.961336999139256,101.08915137145034,2113.96185,1.349174467412929,0.005695697,249.1622,1.353994487105187,0.002932981,28.6634,1.3627543136020153,0.003155933,50.6122,1.3602768723252496,0.009872057
PaclitaxelR,20240227.175358.994.MDAMB231Pack-063Stitching_HT2D_0.png_mip13.tiff,20240227.175358.994.MDAMB231Pa_unet_mask_combined_masks_mask13.tiff,1.3492021057514518,0.5120744339168138,0.559423941,0.756812484,0.1960380959091557,0.001322488,0.003278929,0.000208704,-3.21e-08,-4.21e-06,1.6963326691936573e-07,1381.339425,1825.206975,229.93163922586035,50.67772587196401,42.005839014904105,59.97743575712453,1127.74595,1.3474623057347268,0.00609196,180.7166,1.3540438773471832,0.002806045,21.24485,1.359850212404418,0.003027735,51.632025,1.365874829575249,0.0138283668350004
PaclitaxelR,20240227.175358.994.MDAMB231Pack-063Stitching_HT2D_0.png_mip17.tiff,20240227.175358.994.MDAMB231Pa_unet_mask_combined_masks_mask17.tiff,1.3569244459986012,0.7416271487848252,0.6221943194227717,0.940200646276396,0.1692090950846649,0.001649493,0.000405028,8.787957448111126e-06,3.89097419520039e-10,3.0412653053347466e-07,-3.51e-10,451.656125,480.3827,97.78316413284676,27.534395327243416,21.55565496973396,28.902491242105757,297.400825,1.353818826813947,0.007268572,127.0359,1.3615432438192667,0.004306077,16.578925,1.370642569406641,0.003674735,10.7217,1.3671719696969695,0.009170879
PaclitaxelR,20240227.175358.994.MDAMB231Pack-063Stitching_HT2D_0.png_mip18.tiff,20240227.175358.994.MDAMB231Pa_unet_mask_combined_masks_mask18.tiff,1.3488448816043814,0.3398687443114551,0.9771678879736302,0.7556793110269168,0.4717027812718176,0.1857215311900981,0.0100320914726651,0.005473981,4.052278667557229e-05,0.002339032,-1.85e-06,896.4352,1186.26405,211.71073518790416,80.45736762178903,17.094666668046532,73.79684139582128,786.682175,1.3479188442874024,0.005478896,92.840175,1.3546466802760766,0.002767749,12.734275,1.358835648476258,0.003600935,4.774225,1.363650661625709,0.0100900765666028
PaclitaxelR,20240227.175358.994.MDAMB231Pack-063Stitching_HT2D_0.png_mip19.tiff,20240227.175358.994.MDAMB231Pa_unet_mask_combined_masks_mask19.tiff,1.3534126758366862,0.5766626197221099,0.8494748839707953,0.843566232,0.2051339731620133,0.013407536,3.044705384750072e-05,2.268033252228449e-07,4.905510690000228e-13,2.4847107261521543e-08,-3.38e-13,578.70105,686.017325,132.80276874765386,38.54551287981968,20.337732601844262,42.199680093574166,411.260225,1.3507498957624702,0.007252704,114.41895,1.35545014197823,0.003848083,16.272075,1.3628273433166944,0.002797565,38.545775,1.373179044720206,0.0142444200094422
